Date,Open,High,Low,Close,Adj. Close,Volume
"Mar 25, 2021",72,72.3,68,70.05,68,57493782
"Mar 26, 2021",71.4,71.9,70.2,70.75,68.68,34963255
"Mar 30, 2021",71.9,74.2,70.85,72.25,70.14,83791456
"Mar 31, 2021",72.1,75.45,71.7,74.1,71.93,54265324
"Apr 01, 2021",74.8,76,73.5,75.6,73.39,38540206
"Apr 05, 2021",75.1,75.65,70.8,72.7,70.57,37343942
"Apr 06, 2021",72.9,74.3,71.8,72.85,70.72,38056228
"Apr 07, 2021",72.9,75.55,72.25,74.1,71.93,40294171
"Apr 08, 2021",74.4,75.6,73.25,73.5,71.35,38186842
"Apr 09, 2021",73.4,77.4,72.9,74,71.84,57888088
"Apr 12, 2021",72,72,63.25,66.1,64.17,77084143
"Apr 13, 2021",67.15,69.3,66.3,68.9,66.89,49363120
"Apr 15, 2021",67.75,69.4,66.3,68.3,66.3,51164588
"Apr 16, 2021",68.3,69.5,67.05,67.35,65.38,36225190
"Apr 19, 2021",65,65,62.5,63.8,61.94,49914615
"Apr 20, 2021",64.95,65.8,62.7,63.25,61.4,36714142
"Apr 22, 2021",62.05,64.2,61.75,63.05,61.21,45762152
"Apr 23, 2021",62.6,64.95,62.5,62.95,61.11,45619019
"Apr 26, 2021",63.5,64.45,63.2,63.55,61.69,34891753
"Apr 27, 2021",63.9,65.55,63.55,65.3,63.39,45483876
"Apr 28, 2021",66,68.15,65.75,67.75,65.77,47954929
"Apr 29, 2021",68.45,69.75,66.55,66.85,64.9,50981272
"Apr 30, 2021",65.4,68.4,65.05,66.75,64.8,51182287
"May 03, 2021",65.95,66.95,64.35,66.65,64.7,44344732
"May 04, 2021",67.2,72.95,67.05,70.4,68.34,117824041
"May 05, 2021",72.1,72.95,70.85,72.35,70.24,66540783
"May 06, 2021",73,73,70.1,70.65,68.58,38260232
"May 07, 2021",71.1,71.7,69.85,70.55,68.49,26413730
"May 10, 2021",71.35,74.4,70.7,73.45,71.3,50589470
"May 11, 2021",72.5,74.6,71.15,74.05,71.89,56166002
"May 12, 2021",74.05,79.95,73.9,77.4,75.14,128513179
"May 14, 2021",78.3,79.55,73.35,74,71.84,86863950
"May 17, 2021",74.8,77.75,73.8,77.1,74.85,73000338
"May 18, 2021",78.4,78.6,76.3,76.75,74.51,53617303
"May 19, 2021",76.6,78.25,76.15,76.7,74.46,54818016
"May 20, 2021",77,77.6,75.9,76.5,74.26,57767243
"May 21, 2021",77.5,81.15,77.1,80.8,78.44,136879510
"May 24, 2021",82.3,83.35,80.35,81.35,78.97,129796622
"May 25, 2021",82.1,82.45,80.45,80.85,78.49,55767882
"May 26, 2021",81.35,82.3,80,80.6,78.24,54711508
"May 27, 2021",80.9,84.2,79.8,83.55,81.11,106192011
"May 28, 2021",84.4,84.6,81.8,83.85,81.4,93311026
"May 31, 2021",83,83.5,79.1,80.7,78.34,129974240
"Jun 01, 2021",81.05,81.25,78.8,79.35,77.03,59105829
"Jun 02, 2021",79.15,81.85,78.6,81.2,78.83,51078156
"Jun 03, 2021",81.95,82.8,81.5,81.8,79.41,42158361
"Jun 04, 2021",82.1,82.85,81.15,81.85,79.46,38123227
"Jun 07, 2021",82.6,84.1,81.85,82.9,80.48,48213715
"Jun 08, 2021",83,83.15,80.2,81.8,79.41,44246218
"Jun 09, 2021",83,86.25,81.15,81.85,79.46,103136300
"Jun 10, 2021",82.6,85.3,81.85,84.75,82.27,59937914
"Jun 11, 2021",84.75,85.9,84.2,84.45,81.98,37977268
"Jun 14, 2021",84,85.85,81,84.95,82.47,78345224
"Jun 15, 2021",84.5,86.45,84.1,85.1,82.61,41494997
"Jun 16, 2021",85,87,84.1,84.4,81.93,54675510
"Jun 17, 2021",83.7,84.6,81.3,81.9,79.51,50972723
"Jun 18, 2021",82.65,82.9,77.05,80.2,77.86,67649503
"Jun 21, 2021",78.3,82.8,77.4,82.4,79.99,59884792
"Jun 22, 2021",83.2,84.2,81.45,81.85,79.46,43437619
"Jun 23, 2021",82.55,83.65,81.25,82.3,79.89,48368946
"Jun 24, 2021",82.45,82.9,80.55,80.85,78.49,28655724
"Jun 25, 2021",81.6,84,81,83.5,81.06,49628774
"Jun 28, 2021",84.25,88.4,84.2,87.8,85.23,129796104
"Jun 29, 2021",87.95,88.9,86.4,87.1,84.55,63682439
"Jun 30, 2021",87.25,88.05,85.55,85.9,83.39,37370434
"Jul 01, 2021",86.35,87,85.3,86.05,83.53,31593866
"Jul 02, 2021",86.1,86.45,84.75,85.2,82.71,34228365
"Jul 05, 2021",85.9,86.8,84.6,86.35,83.83,31309297
"Jul 06, 2021",86.5,87.2,85.2,85.5,83,38145342
"Jul 07, 2021",85.25,86.3,84.65,86.05,83.53,23304711
"Jul 08, 2021",86,87,82.8,83.5,81.06,45235131
"Jul 09, 2021",83.55,84.15,82.4,83.65,81.2,31246359
"Jul 12, 2021",84.4,84.65,83,83.3,80.87,24224250
"Jul 13, 2021",84.3,84.9,83.95,84.7,82.22,24138879
"Jul 14, 2021",84.5,85.15,84.05,84.25,81.79,34885927
